Назва,Бренд,Категорія,Фасування,Ціна,Стара ціна,Наявність,Фото,Посилання
Вітамін D3,NOW Foods,Вітаміни,120 капсул · 2000 МО,215,,так,products/d3.jpg,https://www.kidstaff.com.ua/tema-30954663.html
Таурат магнію+,KAL,Мінерали,180 таблеток,1160,,так,products/magnesium.jpg,https://www.kidstaff.com.ua/tema-32556516.html
Омега-3,NOW Foods,Омега,100 капсул · риб’ячий жир 1000 мг,335,,так,products/omega-now.jpg,https://www.kidstaff.com.ua/tema-32628562.html
Омега-800,California Gold Nutrition,Омега,30 капсул · омега-3 800 мг,345,,так,products/omega-cgn.jpg,https://www.kidstaff.com.ua/tema-32628562.html
Цитрат цинку,21st Century,Мінерали,60 таблеток · 50 мг,110,,так,products/zinc.jpg,https://www.kidstaff.com.ua/tema-32355256.html
Комплекс вітамінів B,Life Extension,Комплекси,60 вегетаріанських капсул,405,,так,products/b-complex.jpg,https://www.kidstaff.com.ua/tema-30954663.html
Hema-Plex,NaturesPlus,Комплекси,30 таблеток · тривале вивільнення,425,,так,products/hema-plex.jpg,https://www.kidstaff.com.ua/tema-30756832.html
Жувальний вітамін D3,California Gold Nutrition,Вітаміни,90 мармеладок · 1000 МО в 1 шт.,370,,так,products/d3-gummies.jpg,https://www.kidstaff.com.ua/tema-32556474.html
Приклад: товар зі знижкою,Solgar,Вітаміни,60 капсул,480,600,так,,
Приклад: зараз немає,Thorne,Мінерали,90 капсул,520,,ні,,
